path,label_idx,split,label
/content/data/unified/Tomato_healthy/51c29eaf-bd3a-427b-8ff7-ef970131ba95___GH_HL Leaf 345_1703402071932885701.jpg,14,train,Tomato_healthy
/content/data/unified/Pepper__bell__Bacterial_spot/b5d5a42e-5d4f-4429-8923-aee42e0a0c5d___NREC_B.Spot 9189_5915341820100671146.jpg,0,train,Pepper__bell__Bacterial_spot
/content/data/unified/Tomato_healthy/8379a9cc-775f-4e91-b880-09d9afb361ac___RS_HL 0596_4425909549496006918.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/147acfda-7a23-4889-9340-1a5c15aef1db___UF.GRC_YLCV_Lab 02150_5806564902417601132.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Potato__Early_blight/c09e4b05-b196-4955-abd4-6aed44c40132___RS_Early.B 6823_4663590377786483772.jpg,2,train,Potato__Early_blight
/content/data/unified/Tomato_Late_blight/225d8d96-41c1-4a03-b02d-0c1ca8c2017a___RS_Late.B 6795_7964160078062471597.jpg,7,train,Tomato_Late_blight
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/003b7929-a364-4e74-be1c-37c4c0a6ec63___Com.G_SpM_FL 1414_5058288691680994054.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_Septoria_leaf_spot/97681802-8ef1-491a-ac56-a9772fdb4906___JR_Sept.L.S 8520_2825890578983777157.jpg,9,train,Tomato_Septoria_leaf_spot
/content/data/unified/Tomato__Target_Spot/12c492b4-fb79-47c4-9bdd-720c1361a355___Com.G_TgS_FL 8224_7911415213887951834.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/44276721-fa2c-44b1-a44c-bbe408bd129e___Com.G_SpM_FL 8496_9082630267982428013.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/2df37e4f-7960-42a2-8b23-c8d9bde0d5b0___YLCV_NREC 2813_4220783676207517409.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/e8c55c07-a9fe-4fcb-8e45-846cfe14eb59___Com.G_SpM_FL 1501_37211369403822853.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/5e4d96fa-4eec-4d95-a3a2-6d6afbc5a004___Com.G_SpM_FL 9496_6678654714416819986.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_Late_blight/b45f36d3-b367-4c96-9e4d-a8da7c8c584d___RS_Late.B 5195_3905647010563754939.jpg,7,train,Tomato_Late_blight
/content/data/unified/Potato__Early_blight/2ebb14eb-0e87-468c-a1cb-80579a77a37a___RS_Early.B 7044_273823533315839327.jpg,2,train,Potato__Early_blight
/content/data/unified/Tomato_Bacterial_spot/196be0af-51c3-4587-bd91-9a606631d4f3___GCREC_Bact.Sp 3453_3959503930362109614.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_Late_blight/c7eaa5c7-da88-4df5-bba2-f89c61c82c86___RS_Late.B 4929_1689830381929988045.jpg,7,train,Tomato_Late_blight
/content/data/unified/Potato__Late_blight/ae20cc4e-fe37-48f0-9566-2d2efc5afd38___RS_LB 4290_664259077877724941.jpg,3,train,Potato__Late_blight
/content/data/unified/Tomato_Late_blight/df7775b2-73f3-4708-86d5-a56e2bbb3337___RS_Late.B 5378_6750474224401169480.jpg,7,train,Tomato_Late_blight
/content/data/unified/Tomato_Septoria_leaf_spot/43a563e9-03a7-48d7-bf5e-2581319325fd___Keller.St_CG 1906_3619277873936305051.jpg,9,train,Tomato_Septoria_leaf_spot
/content/data/unified/Tomato_Bacterial_spot/8c556686-072a-4d3a-aad6-4e5534611f03___GCREC_Bact.Sp 5825_3492787831636859117.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_Leaf_Mold/355b3ad0-1d3b-49ea-80c8-3254a06a660c___Crnl_L.Mold 8968_8912015364813749740.jpg,8,train,Tomato_Leaf_Mold
/content/data/unified/Tomato_healthy/4e3e2f5a-04a7-4142-aad1-acfa13344e33___GH_HL Leaf 358_4323024680989917685.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/1da2cd46-6067-4b47-a453-e02754962329___UF.GRC_YLCV_Lab 01728_4120493287896185185.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Pepper__bell__Bacterial_spot/2d9f1bf4-6409-488c-8992-92b2909822bd___JR_B.Spot 3342_6682658659880029687.jpg,0,train,Pepper__bell__Bacterial_spot
/content/data/unified/Potato__Early_blight/b6c68639-ad01-41f9-a10c-4233423ea2b0___RS_Early.B 8573_2326386483104620248.jpg,2,train,Potato__Early_blight
/content/data/unified/Tomato_Bacterial_spot/efce769f-3228-490a-b442-58a67d2ce349___GCREC_Bact.Sp 5868_4383954606945957685.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato__Target_Spot/0fe0ad25-e48a-4b91-bd06-bdd5799944e5___Com.G_TgS_FL 8351_6304726909627675303.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/42dfc224-c909-4d99-ba6b-7f88129f6708___Com.G_SpM_FL 8735_5956600156168048469.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_Bacterial_spot/e9d62efe-fb3b-4b34-8c9f-7c0f067f1daa___UF.GRC_BS_Lab Leaf 8983_4398965880302601937.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_Late_blight/1869d21d-5461-4378-bddb-8de766b836f7___GHLB Leaf 12 Day 6_2038723828660948894.jpg,7,train,Tomato_Late_blight
/content/data/unified/Potato__Late_blight/4d96b41e-8e2e-4a0d-b9a2-0ab8456e4074___RS_LB 3893_2831513064214692528.jpg,3,train,Potato__Late_blight
/content/data/unified/Tomato_Late_blight/d4ac342b-52cf-490f-808f-410d101fcd4b___RS_Late.B 5483_3004978517256341554.jpg,7,train,Tomato_Late_blight
/content/data/unified/Pepper__bell__healthy/62252889-3c0e-46ce-b196-b505e78dc810___JR_HL 7584_4520069759545920066.jpg,1,train,Pepper__bell__healthy
/content/data/unified/Tomato_healthy/bb06c1c7-3f4d-45d0-8882-b2eb8861b834___GH_HL Leaf 372_7222425626571714743.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/3288f220-6679-4d0b-9aca-b0603da72bd3___UF.GRC_YLCV_Lab 01444_8008616789292420416.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_healthy/57b5d4cd-150b-4441-a535-8176fc1f97d7___GH_HL Leaf 197.1_6825463397348961807.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/6e131ddb-647b-4d51-8709-8538a3de6182___YLCV_NREC 2592_2258862949789360871.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/2d3baec6-4431-4b09-8645-73d4c97547b3___UF.GRC_YLCV_Lab 02084_2359537082330400285.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Septoria_leaf_spot/23e043f7-9634-44e5-a49a-25d4ee7e151a___Matt.S_CG 7798_5564226875916180349.jpg,9,train,Tomato_Septoria_leaf_spot
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/810799d4-d5a0-4fc9-908c-a27e3a617e14___YLCV_NREC 2048_7693894168026129120.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato__Target_Spot/15e6ea48-3815-4e37-a901-e2fbeea1b78c___Com.G_TgS_FL 7870_1877740364143551220.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/8bfac020-c591-4fbb-aa1d-f6e2499ee6a2___UF.GRC_YLCV_Lab 02903_7080400620178044769.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Bacterial_spot/a04e5c65-ae00-495e-b732-6c7030e32fc1___GCREC_Bact.Sp 2962_542282581839036785.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_Bacterial_spot/79710197-654d-49dc-b9c2-1494f4f9f9cf___GCREC_Bact.Sp 3012_7824149546514212431.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Potato__Early_blight/737c2343-228f-4155-b984-13ae0da44745___RS_Early.B 6828_7389678006634286523.jpg,2,train,Potato__Early_blight
/content/data/unified/Tomato_healthy/45fc3f1c-6ccc-4ffd-a0a9-f53cbe4e71a1___GH_HL Leaf 206.1_1674199667479357957.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato__Target_Spot/1078fabc-a383-469b-a3ae-6ab9688224f1___Com.G_TgS_FL 0790_578790924692313072.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Pepper__bell__healthy/f5c4ed36-b760-41c8-9ce3-60f0e1b0f068___JR_HL 5871_1303722267890804498.jpg,1,train,Pepper__bell__healthy
/content/data/unified/Tomato_Septoria_leaf_spot/9792efe3-fd2e-4b87-a613-bb65dc743745___Keller.St_CG 1873_8108077964907792347.jpg,9,train,Tomato_Septoria_leaf_spot
/content/data/unified/Tomato_Leaf_Mold/8bb7759a-c612-42ec-ad7e-6092dc53bbf6___Crnl_L.Mold 8822_1152399939730517287.jpg,8,train,Tomato_Leaf_Mold
/content/data/unified/Tomato__Target_Spot/1ea4741f-c01c-486e-a4b4-c77bce536f95___Com.G_TgS_FL 9821_6737475415113900835.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Potato__Late_blight/2ea232e4-2e94-426f-b86f-8bc5861f334f___RS_LB 4757_413841653303315019.jpg,3,train,Potato__Late_blight
/content/data/unified/Tomato_Late_blight/2482cadb-d097-4091-8b10-099abca71a72___RS_Late.B 5078_235905162448689807.jpg,7,train,Tomato_Late_blight
/content/data/unified/Tomato_Bacterial_spot/871cb1d1-91e5-4f1b-b0c0-a7055b8e90e1___GCREC_Bact.Sp 3789_9099410198910643164.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_Septoria_leaf_spot/381296fd-87f1-4238-a725-b052eb876ee3___Matt.S_CG 1429_8432327397792503149.jpg,9,train,Tomato_Septoria_leaf_spot
/content/data/unified/Tomato_Early_blight/53c47cc3-e958-4e9a-811a-e19e99ef0a8c___RS_Erly.B 6373_1079935998118934047.jpg,6,train,Tomato_Early_blight
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/3e70a27a-b642-4936-84bf-aace2944a76f___UF.GRC_YLCV_Lab 01368_1456185811835125522.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/0421a79d-5c62-43e8-a695-ae55f987c27e___Com.G_SpM_FL 1434_5931163471686753212.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Potato__healthy/3a1dbeee-089c-43f0-8f51-a92d3687a515___RS_HL 1754_7321294446184288678.jpg,4,train,Potato__healthy
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/042b346a-35b3-4c4c-986c-658f77a2c82c___UF.GRC_YLCV_Lab 01565_8361447042229848448.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/9b55aea9-85fc-418b-b1a7-ae919f37d2fc___Com.G_SpM_FL 9401_3570163310463563871.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_healthy/a424fe57-c3ff-400e-ac88-000ca1781300___RS_HL 9802_4673073788651518949.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato_Early_blight/96441f54-ccd3-4f34-b405-e395e5070d2c___RS_Erly.B 8336_5224924792162026522.jpg,6,train,Tomato_Early_blight
/content/data/unified/Tomato_Bacterial_spot/c6b57820-5c54-4ee1-841c-07222804c1b7___GCREC_Bact.Sp 6383_530442819866143010.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato__Target_Spot/379d8b0b-aca7-450c-a1bb-80d0b3cd5033___Com.G_TgS_FL 9963_2117986131342313406.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/7beb814a-9589-4d25-be33-bec83d4b3d82___YLCV_GCREC 2701_8114975854638483337.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/566e2c0c-8bed-41e3-92c3-2b1c88afe145___UF.GRC_YLCV_Lab 09345_3814996342450584577.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Bacterial_spot/070228e2-ba4e-4de8-813b-074e51ed6f5a___UF.GRC_BS_Lab Leaf 0661_7153636193979440210.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/324a0c39-0250-482f-85af-720851515b3f___UF.GRC_YLCV_Lab 03236_2046656199199568607.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/39b9e3b8-d3ba-4c0f-92be-e75ba728bce8___YLCV_GCREC 2711_1772741882354929406.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/0250b409-8a29-4a32-a4f3-1b4ae8920e34___YLCV_NREC 2884_3136615308230040975.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/9363617d-ac55-4c84-8883-38b61e06b1ec___Com.G_SpM_FL 8439_7822088847349127381.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/73e4f052-4dac-4a8c-b34f-4bcf5398fc7c___UF.GRC_YLCV_Lab 02010_6490374510003831411.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Pepper__bell__Bacterial_spot/d74d7c16-ab04-49fa-9feb-8677ec37810c___JR_B.Spot 9053_1438391242347106759.jpg,0,train,Pepper__bell__Bacterial_spot
/content/data/unified/Tomato__Target_Spot/952327b8-3fd4-4953-9a40-4d033b0eae9a___Com.G_TgS_FL 1079_8520633915757179408.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/0112d4b1-6cf3-4a5b-a87c-792eef80637a___YLCV_NREC 2744_705939380961662002.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_healthy/b840daeb-319f-4cf3-b2a0-3010387fd5d3___GH_HL Leaf 493_7837553610438257492.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/057552a8-8c38-443f-b523-5ee2b428e622___UF.GRC_YLCV_Lab 09477_7201671017339213644.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Bacterial_spot/1552a68d-efde-4536-b883-f6da947f5a33___GCREC_Bact.Sp 5583_5627199300336860314.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_Septoria_leaf_spot/6a4518f8-37a5-4c96-ab5d-5cb75f6e24b2___JR_Sept.L.S 8444_7415247888451697972.jpg,9,train,Tomato_Septoria_leaf_spot
/content/data/unified/Tomato_Bacterial_spot/5ad7730a-d2fc-435b-afff-4e2138eb9aa2___GCREC_Bact.Sp 5588_113054666853296800.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/cf21eb19-c8d6-4eba-9086-487d11bb8f94___Com.G_SpM_FL 9430_5226048782014423761.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Potato__Late_blight/23ad201a-469e-4687-9321-7329bf747992___RS_LB 4990_8679852701502855058.jpg,3,train,Potato__Late_blight
/content/data/unified/Potato__Early_blight/d55f09eb-e463-4abd-aac6-fb144b30ead7___RS_Early.B 9004_3693436986328092343.jpg,2,train,Potato__Early_blight
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/1dd0d62f-7ef7-477f-b781-83423446a1f5___UF.GRC_YLCV_Lab 01580_8502612635727989547.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Late_blight/e8c3e15e-99ae-4c47-9d27-4d94c2b96e8a___GHLB_PS Leaf 26.3 Day 13_5129518684143596727.jpg,7,train,Tomato_Late_blight
/content/data/unified/Tomato_Leaf_Mold/aacea726-d5bc-4764-92a9-afe05263a498___Crnl_L.Mold 7009_4266908842111363106.jpg,8,train,Tomato_Leaf_Mold
/content/data/unified/Tomato__Tomato_mosaic_virus/2f240e5e-cbb9-406a-98aa-12028411429c___PSU_CG 2123_8162454339471450524.jpg,13,train,Tomato__Tomato_mosaic_virus
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/75c39e92-9f7a-4266-b6bb-56bb3cd48dcb___Com.G_SpM_FL 9523_2770101693155554409.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_healthy/40b7eb94-3f47-47b2-9734-2a95f6acd44e___RS_HL 0408_7118573038613135535.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato_Septoria_leaf_spot/54f54619-e1a8-4e99-ac00-798a65bea648___JR_Sept.L.S 8462_3735509018721794845.jpg,9,train,Tomato_Septoria_leaf_spot
/content/data/unified/Tomato__Tomato_mosaic_virus/0dae2780-43e7-40ac-ae45-95e5318c8f32___PSU_CG 2290_2955364048926227308.jpg,13,train,Tomato__Tomato_mosaic_virus
/content/data/unified/Tomato_Leaf_Mold/f7a198ea-1064-41ab-be9c-f0bab081a128___Crnl_L.Mold 6918_5819111481278599601.jpg,8,train,Tomato_Leaf_Mold
/content/data/unified/Tomato_healthy/a2bbffab-17fd-4608-8994-28f7a62e3a4f___RS_HL 0251_8215510229782316152.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/0fcbc9ec-8e9b-4a39-8204-a0a04c6f906f___UF.GRC_YLCV_Lab 09421_5878500475502258206.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato__Tomato_YellowLeaf__Curl_Virus/41fff472-35b9-4c49-8994-a647086ae947___YLCV_NREC 2142_4047471439631081028.jpg,12,train,Tomato__Tomato_YellowLeaf__Curl_Virus
/content/data/unified/Tomato_Early_blight/b7ca5e36-608f-4441-9549-88b011e7088a___RS_Erly.B 7753_3071834757318037983.jpg,6,train,Tomato_Early_blight
/content/data/unified/Pepper__bell__healthy/674a896b-ff59-42df-8ffb-1f422c2084aa___JR_HL 8089_6267756043656996307.jpg,1,train,Pepper__bell__healthy
/content/data/unified/Tomato_healthy/8ac1645d-48d9-4f3e-842b-0187daeeb57c___RS_HL 0523_3264597631211891902.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato_Bacterial_spot/75348d38-1c41-4798-89c9-b99660d937ef___GCREC_Bact.Sp 5602_6346962123344959061.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Potato__Late_blight/21d8b66f-1ea5-48ad-92e2-9f708a969b7f___RS_LB 4097_6142078358606542910.jpg,3,train,Potato__Late_blight
/content/data/unified/Tomato_Early_blight/809042e0-7587-4a45-93e8-e166c07a55ec___RS_Erly.B 7692_4819318874012814096.jpg,6,train,Tomato_Early_blight
/content/data/unified/Pepper__bell__healthy/e2181b5a-c576-48d9-8e03-ab8a9c6ff952___JR_HL 7812_2380392032280595130.jpg,1,train,Pepper__bell__healthy
/content/data/unified/Tomato__Tomato_mosaic_virus/2e03280e-123a-4231-a73a-652c57338137___PSU_CG 2053_8252903236442190802.jpg,13,train,Tomato__Tomato_mosaic_virus
/content/data/unified/Tomato__Target_Spot/9d04eab3-3ca0-4c04-aca6-6b63a5c0b491___Com.G_TgS_FL 0816_110439964493271942.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Tomato_healthy/b3eaae0f-95b4-4bb5-89b5-4460cf79e554___RS_HL 0583_3769358209914921493.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/36c530f3-b5e1-414b-ab82-198e8d66ebab___Com.G_SpM_FL 8460_6595928564001914019.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_healthy/a81e6fb8-3b9f-4b20-be65-b0650a3eee33___RS_HL 0514_8920520707383338020.jpg,14,train,Tomato_healthy
/content/data/unified/Tomato_Early_blight/dbbc206a-90ab-4b29-abe0-5613028278be___RS_Erly.B 8409_8452040617523468250.jpg,6,train,Tomato_Early_blight
/content/data/unified/Tomato_Bacterial_spot/93fb2f61-879a-441a-a446-5789c81b4249___UF.GRC_BS_Lab Leaf 0432_2044808547569151814.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/09dce947-bb58-46cc-bd33-5a5e75ee07f4___Com.G_SpM_FL 9019_6835259825156182485.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Potato__Late_blight/9e1dc573-9cc5-4bc1-9c95-63c7bfba54f1___RS_LB 2976_2736904164710297443.jpg,3,train,Potato__Late_blight
/content/data/unified/Tomato_healthy/8a5ed87d-5122-4aaf-8e39-9a3433c5f76c___RS_HL 0524_2025085124971775689.jpg,14,train,Tomato_healthy
/content/data/unified/Potato__Early_blight/838c8a0a-d112-4940-9a5d-221b4e9cc4c8___RS_Early.B 6967_322394755248610469.jpg,2,train,Potato__Early_blight
/content/data/unified/Tomato_Early_blight/2d3d1221-2f62-43ad-8256-b560c1872934___RS_Erly.B 7465_1942546502922208902.jpg,6,train,Tomato_Early_blight
/content/data/unified/Tomato_Bacterial_spot/30dab838-d0e4-4028-9992-39a30009c167___GCREC_Bact.Sp 5829_8956974955681634382.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato_Late_blight/ce90a66b-6d07-4fc1-89bd-af0de0c5dee1___GHLB2 Leaf 108_7015713943557459485.jpg,7,train,Tomato_Late_blight
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/c40d9ccd-549c-4d31-b920-c05d6107b27d___Com.G_SpM_FL 9557_265364339993052488.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/3359d10c-2afd-4734-8a71-d19d25a041a6___Com.G_SpM_FL 9016_6391983001171813964.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Pepper__bell__Bacterial_spot/cc74b411-3662-41cf-9764-517ddfa1e913___NREC_B.Spot 1955_8478470566854251673.jpg,0,train,Pepper__bell__Bacterial_spot
/content/data/unified/Potato__Late_blight/58adb74c-a1b3-4b9d-95b7-f0721c499388___RS_LB 4326_1011428213761072764.jpg,3,train,Potato__Late_blight
/content/data/unified/Tomato__Target_Spot/dcccd1d5-958f-4ea9-9d04-a067275f137d___Com.G_TgS_FL 9846_2539563236020115410.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Potato__Late_blight/dcf61d08-eda8-41c1-9293-43895d68b426___RS_LB 4372_3309546922018077823.jpg,3,train,Potato__Late_blight
/content/data/unified/Tomato_Bacterial_spot/b8e606e2-0630-453f-8688-b4350feb2bce___GCREC_Bact.Sp 3033_5280047527293208875.jpg,5,train,Tomato_Bacterial_spot
/content/data/unified/Tomato__Target_Spot/0a2de4c5-d688-4f9d-9107-ace1d281c307___Com.G_TgS_FL 7941_4920915597844256864.jpg,11,train,Tomato__Target_Spot
/content/data/unified/Potato__Late_blight/e2ce6696-9f6e-445c-a6c6-c765d659447a___RS_LB 4960_949392980492075816.jpg,3,train,Potato__Late_blight
/content/data/unified/Tomato_Spider_mites_Two_spotted_spider_mite/01720a27-7595-496b-bf53-dbe5c8c1e2c3___Com.G_SpM_FL 8476_7061321355232882623.jpg,10,train,Tomato_Spider_mites_Two_spotted_spider_mite
/content/data/unified/Tomato_Septoria_leaf_spot/c60ad129-c83a-4466-94c1-240b78bd5d12___Matt.S_CG 6500_3362581708476891682.jpg,9,train,Tomato_Septoria_leaf_spot
